Input_dB;Output_dB;Gain_Reduction_dB
-59,3939;-53,4068;-0,0128
-58,7879;-52,9241;-0,1362
-58,1818;-52,2469;-0,0651
-57,5758;-51,6188;-0,043
-56,9697;-51,033;-0,0633
-56,3636;-50,4842;-0,1206
-55,7576;-49,8026;-0,045
-55,1515;-49,1706;-0,0191
-54,5455;-48,5815;-0,0361
-53,9394;-48,0299;-0,0905
-53,3333;-47,3862;-0,0528
-52,7273;-46,7869;-0,0596
-52,1212;-46,1184;0,0028
-51,5152;-45,4977;0,0174
-50,9091;-44,9185;-0,0094
-50,303;-44,2881;0,0149
-49,697;-43,7411;-0,0442
-49,0909;-43,112;-0,0211
-48,4848;-42,5254;-0,0406
-47,8788;-41,9096;-0,0308
-47,2727;-41,3346;-0,0619
-46,6667;-40,6799;-0,0132
-46,0606;-40,0711;-0,0105
-45,4545;-39,5021;-0,0476
-44,8485;-38,8746;-0,0261
-44,2424;-38,2458;-0,0034
-43,6364;-37,6596;-0,0232
-43,0303;-37,0347;-0,0044
-42,4242;-36,4518;-0,0276
-41,8182;-35,8396;-0,0214
-41,2121;-35,2371;-0,025
-40,6061;-34,6164;-0,0103
-40,0;-34,0238;-0,0238
-39,3939;-33,4068;-0,0128
-38,7879;-32,8075;-0,0196
-38,1818;-32,2036;-0,0218
-37,5758;-31,5785;-0,0027
-36,9697;-30,9765;-0,0068
-36,3636;-30,361;0,0026
-35,7576;-29,7617;-0,0042
-35,1515;-29,163;-0,0115
-34,5455;-28,5602;-0,0147
-33,9394;-27,9434;-0,004
-33,3333;-27,3429;-0,0095
-32,7273;-26,7407;-0,0134
-32,1212;-26,1292;-0,008
-31,5152;-25,5177;-0,0026
-30,9091;-24,9091;-0,0
-30,303;-24,3099;-0,0068
-29,697;-23,7045;-0,0075
-29,0909;-23,0931;-0,0022
-28,4848;-22,49;-0,0052
-27,8788;-21,8832;-0,0044
-27,2727;-21,2761;-0,0033
-26,6667;-20,6713;-0,0046
-26,0606;-20,0657;-0,0051
-25,4545;-19,4572;-0,0027
-24,8485;-18,849;-0,0005
-24,2424;-18,2458;-0,0034
-23,6364;-17,6394;-0,003
-23,0303;-17,0328;-0,0025
-22,4242;-16,4272;-0,0029
-21,8182;-15,8216;-0,0034
-21,2121;-15,2141;-0,002
-20,6061;-14,6078;-0,0018
-20,0;-14,0025;-0,0025
-19,3939;-13,8445;-0,4505
-18,7879;-13,6854;-0,8975
-18,1818;-13,6025;-1,4207
-17,5758;-13,3277;-1,752
-16,9697;-13,138;-2,1683
-16,3636;-12,9382;-2,5746
-15,7576;-12,7303;-2,9727
-15,1515;-12,5115;-3,36
-14,5455;-12,2839;-3,7385
-13,9394;-12,0462;-4,1068
-13,3333;-11,7984;-4,465
-12,7273;-11,5494;-4,8221
-12,1212;-11,362;-5,2408
-11,5152;-10,9906;-5,4754
-10,9091;-10,7005;-5,7914
-10,303;-10,4004;-6,0974
-9,697;-10,09;-6,3931
-9,0909;-9,7683;-6,6774
-8,4848;-9,436;-6,9511
-7,8788;-9,0933;-7,2145
-7,2727;-8,7418;-7,469
-6,6667;-8,3865;-7,7199
-6,0606;-8,0942;-8,0336
-5,4545;-7,6214;-8,1668
-4,8485;-7,2288;-8,3803
-4,2424;-6,8264;-8,5839
-3,6364;-6,4146;-8,7782
-3,0303;-5,9939;-8,9636
-2,4242;-5,5639;-9,1397
-1,8182;-5,1259;-9,3078
-1,2121;-4,6803;-9,4682
-0,6061;-4,2336;-9,6275
0,0;-3,8499;-9,8499
