Input_dB;Output_dB_SW;Gain_Reduction_dB_SW;Output_dB_HW;Gain_Reduction_dB_HW;Metrik Analisis;Nilai
-59,3939;-59,3939;0,0;-59,4274;-0,0334;Avg Error Output (dB);0,02022
-58,7879;-58,7879;0,0;-58,9447;-0,1568;Max Error Output (dB);0,1568
-58,1818;-58,1818;0,0;-58,2675;-0,0857;MAE Output (dB);0,02022
-57,5758;-57,5758;0,0;-57,6394;-0,0636;RMSE Output (dB);0,038231
-56,9697;-56,9697;0,0;-57,0536;-0,0839;R2 Score Output;0,99999422
-56,3636;-56,3636;0,0;-56,5048;-0,1412;Avg Error GR (dB);0,02022
-55,7576;-55,7576;0,0;-55,8232;-0,0656;Max Error GR (dB);0,1568
-55,1515;-55,1515;0,0;-55,1912;-0,0397;;
-54,5455;-54,5455;0,0;-54,6021;-0,0567;;
-53,9394;-53,9394;0,0;-54,0505;-0,1111;;
-53,3333;-53,3333;0,0;-53,4068;-0,0734;;
-52,7273;-52,7273;0,0;-52,8075;-0,0802;;
-52,1212;-52,1212;0,0;-52,139;-0,0178;;
-51,5152;-51,5152;0,0;-51,5183;-0,0032;;
-50,9091;-50,9091;0,0;-50,9391;-0,03;;
-50,303;-50,303;0,0;-50,3087;-0,0057;;
-49,697;-49,697;0,0;-49,7211;-0,0241;;
-49,0909;-49,0909;0,0;-49,0948;-0,0039;;
-48,4848;-48,4848;0,0;-48,5106;-0,0258;;
-47,8788;-47,8788;0,0;-47,8973;-0,0185;;
-47,2727;-47,2727;0,0;-47,3244;-0,0516;;
-46,6667;-46,6667;0,0;-46,6719;-0,0052;;
-46,0606;-46,0606;0,0;-46,065;-0,0044;;
-45,4545;-45,4545;0,0;-45,4977;-0,0432;;
-44,8485;-44,8485;0,0;-44,8719;-0,0234;;
-44,2424;-44,2424;0,0;-44,2448;-0,0024;;
-43,6364;-43,6364;0,0;-43,66;-0,0236;;
-43,0303;-43,0303;0,0;-43,0365;-0,0062;;
-42,4242;-42,4242;0,0;-42,4548;-0,0306;;
-41,8182;-41,8182;0,0;-41,8438;-0,0256;;
-41,2121;-41,2121;0,0;-41,2424;-0,0302;;
-40,6061;-40,6061;0,0;-40,6227;-0,0167;;
-40,0;-40,0;0,0;-40,0178;-0,0178;;
-39,3939;-39,3939;0,0;-39,4026;-0,0087;;
-38,7879;-38,7879;0,0;-38,805;-0,0171;;
-38,1818;-38,1818;0,0;-38,2026;-0,0208;;
-37,5758;-37,5758;0,0;-37,579;-0,0032;;
-36,9697;-36,9697;0,0;-36,9784;-0,0087;;
-36,3636;-36,3636;0,0;-36,3641;-0,0005;;
-35,7576;-35,7576;0,0;-35,7579;-0,0003;;
-35,1515;-35,1515;0,0;-35,1608;-0,0093;;
-34,5455;-34,5455;0,0;-34,5595;-0,0141;;
-33,9394;-33,9394;0,0;-33,9442;-0,0048;;
-33,3333;-33,3333;0,0;-33,345;-0,0116;;
-32,7273;-32,7273;0,0;-32,7383;-0,011;;
-32,1212;-32,1212;0,0;-32,1283;-0,0071;;
-31,5152;-31,5152;0,0;-31,5183;-0,0032;;
-30,9091;-30,9091;0,0;-30,9111;-0,002;;
-30,303;-30,303;0,0;-30,3087;-0,0057;;
-29,697;-29,697;0,0;-29,7048;-0,0079;;
-29,0909;-29,0909;0,0;-29,0948;-0,0039;;
-28,4848;-28,4848;0,0;-28,4895;-0,0046;;
-27,8788;-27,8788;0,0;-27,8841;-0,0053;;
-27,2727;-27,2727;0,0;-27,2752;-0,0025;;
-26,6667;-26,6667;0,0;-26,6719;-0,0052;;
-26,0606;-26,0606;0,0;-26,065;-0,0044;;
-25,4545;-25,4545;0,0;-25,4579;-0,0034;;
-24,8485;-24,8485;0,0;-24,8487;-0,0002;;
-24,2424;-24,2424;0,0;-24,2448;-0,0024;;
-23,6364;-23,6364;0,0;-23,6398;-0,0034;;
-23,0303;-23,0303;0,0;-23,0327;-0,0024;;
-22,4242;-22,4242;0,0;-22,4267;-0,0025;;
-21,8182;-21,8182;0,0;-21,8209;-0,0027;;
-21,2121;-21,2121;0,0;-21,2149;-0,0028;;
-20,6061;-20,6061;0,0;-20,6085;-0,0024;;
-20,0;-20,0;0,0;-20,0019;-0,0019;;
-19,3939;-19,6917;-0,2977;-19,6919;-0,298;;
-18,7879;-19,3728;-0,5849;-19,3779;-0,59;;
-18,1818;-19,0434;-0,8616;-19,1394;-0,9575;;
-17,5758;-18,7036;-1,1278;-18,7039;-1,1282;;
-16,9697;-18,3534;-1,3837;-18,3548;-1,3851;;
-16,3636;-17,9929;-1,6293;-17,9939;-1,6303;;
-15,7576;-17,6223;-1,8647;-17,6232;-1,8656;;
-15,1515;-17,2418;-2,0902;-17,2426;-2,091;;
-14,5455;-16,8514;-2,306;-16,852;-2,3065;;
-13,9394;-16,4515;-2,5121;-16,4518;-2,5124;;
-13,3333;-16,0422;-2,7088;-16,044;-2,7106;;
-12,7273;-15,6237;-2,8964;-15,6336;-2,9063;;
-12,1212;-15,1963;-3,0751;-15,2893;-3,1681;;
-11,5152;-14,7603;-3,2451;-14,7602;-3,245;;
-10,9091;-14,3158;-3,4067;-14,3164;-3,4073;;
-10,303;-13,8632;-3,5602;-13,8641;-3,561;;
-9,697;-13,4028;-3,7058;-13,4031;-3,7061;;
-9,0909;-12,9348;-3,8439;-12,9347;-3,8438;;
-8,4848;-12,4595;-3,9746;-12,4602;-3,9753;;
-7,8788;-11,9771;-4,0983;-11,9775;-4,0988;;
-7,2727;-11,4881;-4,2153;-11,4894;-4,2167;;
-6,6667;-10,9926;-4,3259;-11,0019;-4,3352;;
-6,0606;-10,4909;-4,4303;-10,5805;-4,5199;;
-5,4545;-9,9833;-4,5288;-9,9839;-4,5294;;
-4,8485;-9,4702;-4,6217;-9,4706;-4,6221;;
-4,2424;-8,9516;-4,7092;-8,9517;-4,7093;;
-3,6364;-8,428;-4,7916;-8,4284;-4,792;;
-3,0303;-7,8995;-4,8692;-7,8999;-4,8696;;
-2,4242;-7,3664;-4,9422;-7,3663;-4,9421;;
-1,8182;-6,829;-5,0108;-6,8293;-5,0111;;
-1,2121;-6,2874;-5,0753;-6,2884;-5,0763;;
-0,6061;-5,7419;-5,1359;-5,751;-5,1449;;
0,0;-5,1927;-5,1927;-5,2803;-5,2803;;
