Input_dB;Output_dB_SW;Gain_Reduction_dB_SW;Output_dB_HW;Gain_Reduction_dB_HW;Metrik Analisis;Nilai
-26,0606;-26,0606;0,0;-26,065;-0,0044;;
-25,4545;-25,4545;0,0;-25,4579;-0,0034;;
-24,8485;-24,8485;0,0;-24,8487;-0,0002;;
-24,2424;-24,2424;0,0;-24,2448;-0,0024;;
-23,6364;-23,6364;0,0;-23,6398;-0,0034;;
-23,0303;-23,0303;0,0;-23,0327;-0,0024;;
-22,4242;-22,4242;0,0;-22,4267;-0,0025;;
-21,8182;-21,8182;0,0;-21,8209;-0,0027;;
-21,2121;-21,2121;0,0;-21,2149;-0,0028;;
-20,6061;-20,6061;0,0;-20,6085;-0,0024;;
-20,0;-20,0;0,0;-20,0019;-0,0019;;
-19,3939;-19,9375;-0,5435;-19,9385;-0,5445;;
-18,7879;-19,8709;-1,083;-19,8755;-1,0876;;
-18,1818;-19,8001;-1,6183;-19,8938;-1,712;;
-17,5758;-19,7248;-2,149;-19,7253;-2,1495;;
-16,9697;-19,6448;-2,6751;-19,6435;-2,6738;;
-16,3636;-19,5598;-3,1961;-19,5599;-3,1963;;
-15,7576;-19,4695;-3,712;-19,4697;-3,7121;;
-15,1515;-19,3738;-4,2223;-19,3729;-4,2214;;
-14,5455;-19,2724;-4,7269;-19,2724;-4,727;;
-13,9394;-19,1649;-5,2255;-19,1658;-5,2264;;
-13,3333;-19,051;-5,7177;-19,051;-5,7177;;
-12,7273;-18,9306;-6,2034;-18,94;-6,2127;;
-12,1212;-18,8034;-6,6822;-18,8955;-6,7743;;
-11,5152;-18,6689;-7,1538;-18,6697;-7,1546;;
-10,9091;-18,5271;-7,618;-18,5276;-7,6185;;
-10,303;-18,3775;-8,0745;-18,3768;-8,0738;;
-9,697;-18,2199;-8,5229;-18,2199;-8,5229;;
-9,0909;-18,054;-8,9631;-18,0531;-8,9621;;
-8,4848;-17,8796;-9,3948;-17,879;-9,3941;;
-7,8788;-17,6964;-9,8176;-17,6961;-9,8173;;
-7,2727;-17,5042;-10,2315;-17,5051;-10,2323;;
-6,6667;-17,3027;-10,636;-17,3123;-10,6456;;
-6,0606;-17,0917;-11,0311;-17,181;-11,1204;;
-5,4545;-16,871;-11,4165;-16,8705;-11,4159;;
-4,8485;-16,6404;-11,792;-16,6406;-11,7921;;
-4,2424;-16,3998;-12,1574;-16,3991;-12,1567;;
-3,6364;-16,149;-12,5127;-16,1488;-12,5125;;
-3,0303;-15,8879;-12,8576;-15,8874;-12,8571;;
-2,4242;-15,6164;-13,1921;-15,6159;-13,1917;;
-1,8182;-15,3343;-13,5162;-15,3341;-13,5159;;
-1,2121;-15,0418;-13,8296;-15,0432;-13,831;;
-0,6061;-14,7386;-14,1326;-14,7472;-14,1411;;
0,0;-14,4249;-14,4249;-14,5129;-14,5129;;
