Input_dB;Output_dB_SW;Gain_Reduction_dB_SW;Output_dB_HW;Gain_Reduction_dB_HW;Metrik Analisis;Nilai
-59,3939;-59,3939;0,0;-59,4274;-0,0334;Avg Error Output (dB);0,018157
-58,7879;-58,7879;0,0;-58,9447;-0,1568;Max Error Output (dB);0,1568
-58,1818;-58,1818;0,0;-58,2675;-0,0857;MAE Output (dB);0,018157
-57,5758;-57,5758;0,0;-57,6394;-0,0636;RMSE Output (dB);0,035769
-56,9697;-56,9697;0,0;-57,0536;-0,0839;R2 Score Output;0,99999528
-56,3636;-56,3636;0,0;-56,5048;-0,1412;Avg Error GR (dB);0,018154
-55,7576;-55,7576;0,0;-55,8232;-0,0656;Max Error GR (dB);0,1568
-55,1515;-55,1515;0,0;-55,1912;-0,0397;;
-54,5455;-54,5455;0,0;-54,6021;-0,0567;;
-53,9394;-53,9394;0,0;-54,0505;-0,1111;;
-53,3333;-53,3333;0,0;-53,4068;-0,0734;;
-52,7273;-52,7273;0,0;-52,8075;-0,0802;;
-52,1212;-52,1212;0,0;-52,139;-0,0178;;
-51,5152;-51,5152;0,0;-51,5183;-0,0032;;
-50,9091;-50,9091;0,0;-50,9391;-0,03;;
-50,303;-50,303;0,0;-50,3087;-0,0057;;
-49,697;-49,697;0,0;-49,7211;-0,0241;;
-49,0909;-49,0909;0,0;-49,0948;-0,0039;;
-48,4848;-48,4848;0,0;-48,5106;-0,0258;;
-47,8788;-47,8788;0,0;-47,8973;-0,0185;;
-47,2727;-47,2727;0,0;-47,3244;-0,0516;;
-46,6667;-46,6667;0,0;-46,6719;-0,0052;;
-46,0606;-46,0606;0,0;-46,065;-0,0044;;
-45,4545;-45,4545;0,0;-45,4977;-0,0432;;
-44,8485;-44,8485;0,0;-44,8719;-0,0234;;
-44,2424;-44,2424;0,0;-44,2448;-0,0024;;
-43,6364;-43,6364;0,0;-43,66;-0,0236;;
-43,0303;-43,0303;0,0;-43,0365;-0,0062;;
-42,4242;-42,4242;0,0;-42,4548;-0,0306;;
-41,8182;-41,8182;0,0;-41,8438;-0,0256;;
-41,2121;-41,2121;0,0;-41,2424;-0,0302;;
-40,6061;-40,6061;0,0;-40,6227;-0,0167;;
-40,0;-40,0;0,0;-40,0178;-0,0178;;
-39,3939;-39,3939;0,0;-39,4026;-0,0087;;
-38,7879;-38,7879;0,0;-38,805;-0,0171;;
-38,1818;-38,1818;0,0;-38,2026;-0,0208;;
-37,5758;-37,5758;0,0;-37,579;-0,0032;;
-36,9697;-36,9697;0,0;-36,9784;-0,0087;;
-36,3636;-36,3636;0,0;-36,3641;-0,0005;;
-35,7576;-35,7576;0,0;-35,7579;-0,0003;;
-35,1515;-35,1515;0,0;-35,1608;-0,0093;;
-34,5455;-34,5455;0,0;-34,5595;-0,0141;;
-33,9394;-33,9394;0,0;-33,9442;-0,0048;;
-33,3333;-33,3333;0,0;-33,345;-0,0116;;
-32,7273;-32,7273;0,0;-32,7383;-0,011;;
-32,1212;-32,1212;0,0;-32,1283;-0,0071;;
-31,5152;-31,5152;0,0;-31,5183;-0,0032;;
-30,9091;-30,9091;0,0;-30,9111;-0,002;;
-30,303;-30,303;0,0;-30,3087;-0,0057;;
-29,697;-29,697;0,0;-29,7048;-0,0079;;
-29,0909;-29,0909;0,0;-29,0948;-0,0039;;
-28,4848;-28,4848;0,0;-28,4895;-0,0046;;
-27,8788;-27,8788;0,0;-27,8841;-0,0053;;
-27,2727;-27,2727;0,0;-27,2752;-0,0025;;
-26,6667;-26,6667;0,0;-26,6719;-0,0052;;
-26,0606;-26,0606;0,0;-26,065;-0,0044;;
-25,4545;-25,4545;0,0;-25,4579;-0,0034;;
-24,8485;-24,8485;0,0;-24,8487;-0,0002;;
-24,2424;-24,2424;0,0;-24,2448;-0,0024;;
-23,6364;-23,6364;0,0;-23,6398;-0,0034;;
-23,0303;-23,0303;0,0;-23,0327;-0,0024;;
-22,4242;-22,4242;0,0;-22,4267;-0,0025;;
-21,8182;-21,8182;0,0;-21,8209;-0,0027;;
-21,2121;-21,2121;0,0;-21,2149;-0,0028;;
-20,6061;-20,6061;0,0;-20,6085;-0,0024;;
-20,0;-20,0;0,0;-20,0019;-0,0019;;
-19,3939;-19,3939;0,0;-19,3952;-0,0012;;
-18,7879;-18,7879;0,0;-18,7888;-0,0009;;
-18,1818;-18,1818;0,0;-18,1833;-0,0014;;
-17,5758;-17,5758;0,0;-17,577;-0,0012;;
-16,9697;-16,9697;0,0;-16,9709;-0,0012;;
-16,3636;-16,3636;0,0;-16,3641;-0,0005;;
-15,7576;-15,7576;0,0;-15,7579;-0,0003;;
-15,1515;-15,1515;0,0;-15,1517;-0,0002;;
-14,5455;-14,5455;0,0;-14,5468;-0,0013;;
-13,9394;-13,9394;0,0;-13,9403;-0,0009;;
-13,3333;-13,3333;0,0;-13,3339;-0,0005;;
-12,7273;-12,7273;0,0;-12,728;-0,0007;;
-12,1212;-12,1212;0,0;-12,1219;-0,0007;;
-11,5152;-11,5152;0,0;-11,5154;-0,0002;;
-10,9091;-10,9091;0,0;-10,9092;-0,0001;;
-10,303;-10,303;0,0;-10,3035;-0,0005;;
-9,697;-9,9232;-0,2263;-9,9231;-0,2261;;
-9,0909;-9,7637;-0,6727;-9,7634;-0,6725;;
-8,4848;-9,5957;-1,1109;-9,5953;-1,1105;;
-7,8788;-9,4192;-1,5404;-9,4195;-1,5407;;
-7,2727;-9,2338;-1,9611;-9,2349;-1,9621;;
-6,6667;-9,0393;-2,3727;-9,0481;-2,3814;;
-6,0606;-8,8355;-2,7749;-8,925;-2,8644;;
-5,4545;-8,6222;-3,1676;-8,6222;-3,1677;;
-4,8485;-8,3991;-3,5506;-8,3991;-3,5506;;
-4,2424;-8,1661;-3,9236;-8,1659;-3,9235;;
-3,6364;-7,923;-4,2866;-7,923;-4,2866;;
-3,0303;-7,6696;-4,6393;-7,6693;-4,639;;
-2,4242;-7,406;-4,9817;-7,406;-4,9818;;
-1,8182;-7,1319;-5,3137;-7,1318;-5,3137;;
-1,2121;-6,8473;-5,6351;-6,8479;-5,6358;;
-0,6061;-6,5521;-5,946;-6,5611;-5,9551;;
0,0;-6,2464;-6,2464;-6,3339;-6,3339;;
